Kabupaten/Kota,Latitude,Longitude
Landak,0.42373,109.75917
Mempawah,0.25,109.16667
Sanggau,0.25472,110.45
Ketapang,-1.58333,110.5
Sintang,-0.08333,112.08333
Kapuas Hulu,0.81667,112.76667
Sekadau,0.03485,110.95066
Melawi,-0.33617,111.698
Kayong Utara,-1.43711,110.79781
Kubu Raya,0.01637,109.33731
Kota Pontianak,-0.08333,109.36667
Kota Singkawang,0.90734,109.00103
Tanah Laut,-3.88333,114.86667
Kota Baru,-3.0,116.0
Banjar,-7.36996,108.53209
Barito Kuala,-3.08333,114.61667
Tapin,-2.91667,115.03333
Hulu Sungai Selatan,-2.75,115.2
Hulu Sungai Tengah,-2.61667,115.41667
Hulu Sungai Utara,-2.45,115.13333
Tabalong,-1.88333,115.5
Tanah Bumbu,-3.45413,115.70372
Balangan,-2.32314,115.62922
Kota Banjarmasin,-3.32444,114.59102
Kota Banjar Baru,-3.41667,114.83333
Kotawaringin Barat,-2.4,111.73333
Kotawaringin Timur,-2.08333,112.75
Kapuas,-2.01667,114.38333
Barito Selatan,-1.86667,114.73333
Barito Utara,-0.98333,115.1
Sukamara,-2.62675,111.23681
Lamandau,-1.83828,111.2869
Seruyan,-2.33333,112.25
Katingan,-2.06667,113.4
Pulang Pisau,-3.11858,113.8623
Gunung Mas,-0.95,113.5
Barito Timur,-1.93333,115.1
Murung Raya,-0.01667,114.26667
Kota Palangka Raya,-1.76979,113.73126
Paser,-1.43517,116.23535
Kutai Barat,-0.59417,115.51575
Kutai Kartanegara,-0.44019,116.98139
Kutai Timur,1.03769,117.83112
Berau,2.0,117.3
Penajam Paser Utara,-1.25,116.83333
Mahakam Hulu,0.37822,115.38048
Kota Balikpapan,-1.16667,116.88333
Kota Samarinda,-0.43333,117.18333
Kota Bontang,0.12526,117.49603
Malinau,2.45,115.68333
Bulungan,3.0,117.16667
Tana Tidung,3.55,117.25
Nunukan,4.13333,116.7
Kota Tarakan,3.36667,117.6
Bangka,-1.91667,105.93333
Belitung,-2.86667,107.7
Bangka Barat,-1.95839,105.53741
Bangka Tengah,-2.33989,106.1142
Bangka Selatan,-2.66803,106.01257
Belitung Timur,-2.9627,108.15216
Kota Pangkal Pinang,-2.13333,106.13333
Karimun,0.80764,103.41911
Bintan,0.95,104.61944
Natuna,4.71417,107.97639
Lingga,0.2,104.61667
Kepulauan Anambas,3.0,106.0
Kota Batam,1.05211,104.02851
Kota Tanjung Pinang,0.91683,104.44329
Lampung Barat,-5.14904,104.19309
Tanggamus,-5.38508,104.62349
Lampung Selatan,-5.4531,104.9877
Lampung Timur,-5.10273,105.68003
Lampung Tengah,-4.86667,105.26667
Lampung Utara,-4.81667,104.8
Way Kanan,-4.44705,104.52753
Tulangbawang,-4.20604,105.57999
Pesawaran,-5.4298,105.17899
Pringsewu,-5.42211,104.93454
Mesuji,-4.0439,105.4013
Tulang Bawang Barat,-4.43975,105.0444
Pesisir Barat,-5.19323,103.93976
Kota Bandar Lampung,-5.41667,105.25
Kota Metro,-5.11856,105.29949
Kepulauan Tanimbar,3.0,106.0
Maluku Tenggara,-5.75,132.73334
